Latitude: 47.3031956, Longitude: 11.3878850, Information Type: guidepost, Reference: N/A
Latitude: 47.2974095, Longitude: 11.4107287, Information Type: guidepost, Reference: N/A
Latitude: 47.3366694, Longitude: 11.4118291, Information Type: guidepost, Reference: N/A
Latitude: 47.2925738, Longitude: 11.4196745, Information Type: guidepost, Reference: N/A
Latitude: 47.2933283, Longitude: 11.4164498, Information Type: guidepost, Reference: N/A
Latitude: 47.2888310, Longitude: 11.4090215, Information Type: guidepost, Reference: N/A
Latitude: 47.2513553, Longitude: 11.4146023, Information Type: guidepost, Reference: N/A
Latitude: 47.2523332, Longitude: 11.4078701, Information Type: guidepost, Reference: N/A
Latitude: 47.2520770, Longitude: 11.4075865, Information Type: guidepost, Reference: N/A
Latitude: 47.2496291, Longitude: 11.4053307, Information Type: guidepost, Reference: N/A
Latitude: 47.2951324, Longitude: 11.4048104, Information Type: guidepost, Reference: N/A
Latitude: 47.2960447, Longitude: 11.4029134, Information Type: guidepost, Reference: N/A
Latitude: 47.2978231, Longitude: 11.4048027, Information Type: guidepost, Reference: N/A
Latitude: 47.2867979, Longitude: 11.4198495, Information Type: guidepost, Reference: N/A
Latitude: 47.2869130, Longitude: 11.4033929, Information Type: guidepost, Reference: N/A
Latitude: 47.2482114, Longitude: 11.3969452, Information Type: guidepost, Reference: N/A
Latitude: 47.2508551, Longitude: 11.4003925, Information Type: guidepost, Reference: N/A
Latitude: 47.2961366, Longitude: 11.4025185, Information Type: guidepost, Reference: N/A
Latitude: 47.2949191, Longitude: 11.3948493, Information Type: guidepost, Reference: N/A
Latitude: 47.2954444, Longitude: 11.3998523, Information Type: guidepost, Reference: N/A
Latitude: 47.2866132, Longitude: 11.3684705, Information Type: guidepost, Reference: N/A
Latitude: 47.2827539, Longitude: 11.3623772, Information Type: guidepost, Reference: N/A
Latitude: 47.2982024, Longitude: 11.4058115, Information Type: guidepost, Reference: N/A
Latitude: 47.2463545, Longitude: 11.4074470, Information Type: guidepost, Reference: N/A
Latitude: 47.2846022, Longitude: 11.3815503, Information Type: guidepost, Reference: N/A
Latitude: 47.2808189, Longitude: 11.3803077, Information Type: guidepost, Reference: N/A
Latitude: 47.2826644, Longitude: 11.3783568, Information Type: guidepost, Reference: N/A
Latitude: 47.2448523, Longitude: 11.3503978, Information Type: guidepost, Reference: N/A
